Date,Suspanded Matter,Sulfur dioxide,Carbon monoxide,Nitrogen dioxide,Nitrous oxide,Phenol,Hydrogen chloride,Ammonia,Formaldehyde
1/1/2020,,,,,,,,,
1/2/2020,0.6,0.4,1.6,1.9,0.6,0.9,0.1,0.3,1.2
1/3/2020,0.3,0.5,1.8,1.7,0.5,1.0,0.1,0.3,1.1
1/4/2020,0.3,0.4,1.7,1.7,0.5,1.2,0.1,0.4,1.0
1/5/2020,0.3,0.6,2.1,2.0,0.5,1.4,0.1,0.3,0.9
1/6/2020,,,,,,,,,
1/7/2020,,,,,,,,,
1/8/2020,,,,,,,,,
1/9/2020,0.3,0.4,1.8,1.7,0.5,0.9,0.1,0.4,1.1
1/10/2020,0.5,0.5,1.8,1.9,0.6,1.0,0.2,0.3,1.2
1/11/2020,0.4,0.5,1.8,1.8,0.6,1.3,0.1,0.3,1.1
1/12/2020,,,,,,,,,
1/13/2020,0.6,0.5,2.0,1.8,0.6,1.2,0.2,0.4,1.1
1/14/2020,0.4,0.6,2.3,1.6,0.4,1.2,0.1,0.4,0.6
1/15/2020,0.4,0.4,2.0,0.8,0.5,1.2,0.1,0.2,0.8
1/16/2020,0.3,0.5,1.7,3.0,1.0,1.0,0.1,0.4,0.7
1/17/2020,0.3,0.3,1.7,1.4,0.4,1.1,0.1,0.3,0.8
1/18/2020,0.4,0.6,1.8,1.5,0.4,1.2,0.1,0.3,0.7
1/19/2020,,,,,,,,,
1/20/2020,0.3,0.5,1.6,1.5,0.4,0.8,0.1,0.3,0.7
1/21/2020,0.3,0.3,1.6,1.9,0.6,1.1,0.1,0.4,1.0
1/22/2020,0.4,0.6,1.6,1.8,0.5,1.3,0.1,0.3,0.7
1/23/2020,0.3,0.5,1.7,2.5,0.8,1.0,0.3,0.3,1.0
1/24/2020,0.3,0.4,1.7,1.8,0.5,1.1,0.2,0.4,1.2
1/25/2020,0.5,0.5,1.8,1.8,0.5,1.0,0.3,0.4,1.3
1/26/2020,,,,,,,,,
1/27/2020,0.4,0.3,1.9,1.7,0.5,0.8,0.3,0.4,1.4
1/28/2020,0.5,0.5,2.1,1.5,0.4,1.2,0.2,0.3,1.6
1/29/2020,0.2,0.5,1.8,1.3,0.3,1.3,0.2,0.2,1.0
1/30/2020,0.3,0.4,1.6,1.6,0.4,1.2,0.2,0.3,1.2
1/31/2020,0.3,0.5,1.5,1.7,0.5,1.2,0.2,0.3,1.8
2/1/2020,0.3,0.5,1.5,1.6,0.4,1.2,0.2,0.1,1.8
2/2/2020,,,,,,,,,
2/3/2020,0.2,0.3,1.5,1.1,0.2,1.4,0.2,0.2,2
2/4/2020,0.3,0.4,1.5,1.4,0.3,0.9,0.2,0.2,1.7
2/5/2020,0.2,0.6,1.5,1.4,0.4,1.1,0.1,0.2,2.4
2/6/2020,0.2,0.6,1.6,1.1,0.3,1.4,0.1,0.2,2.6
2/7/2020,0.2,0.5,1.5,1.7,0.4,1.4,0.2,0.2,1.3
2/8/2020,0.3,0.6,1.5,1.4,0.4,1.2,0.1,0.1,1.5
2/9/2020,,,,,,,,,
2/10/2020,0.3,0.4,1.6,1.2,0.3,0.9,0.1,0.1,1.1
2/11/2020,0.2,0.5,1.5,1.2,0.3,1,0.3,0.4,1.6
2/12/2020,0.2,0.6,1.5,1,0.3,1,0.1,0.4,1
2/13/2020,0.4,0.4,1.5,1.3,0.4,0.9,0.1,0.4,1
2/14/2020,0.5,0.5,1.4,1.1,0.3,0.5,0.1,0.3,1.2
2/15/2020,0.4,0.5,1.4,1,0.3,0.6,0.2,0.2,1.2
2/16/2020,,,,,,,,,
2/17/2020,0.3,0.4,1.4,1,0.2,0.8,0.1,0.3,1.8
2/18/2020,0.3,0.3,1.3,1.7,0.5,1.7,0.1,0.3,1.5
2/19/2020,0.4,0.4,1.3,1,0.3,1,0.1,0.2,1
2/20/2020,0.4,0.4,1.1,1.1,0.2,0.8,0.3,0.2,1.1
2/21/2020,0.4,0.5,1.1,0.7,0.1,1,0.2,0.3,1
2/22/2020,0.4,0.5,1.1,0.8,0.1,0.9,0.2,0.2,1.2
2/23/2020,,,,,,,,,
2/24/2020,0.3,0.4,1.2,1.3,0.3,1.0,0.0,0.2,1.4
2/25/2020,0.3,0.5,1.2,1.0,0.2,0.9,0.1,0.2,0.8
2/26/2020,0.3,0.6,1.0,1.1,0.2,1.1,0.1,0.2,1.7
2/27/2020,0.5,0.5,1.0,1.3,0.3,1.0,0.1,0.3,1.1
2/28/2020,0.7,0.5,1.1,1.6,0.4,0.8,0.1,0.3,1.6
2/29/2020,0.5,0.4,1.0,1.8,0.5,0.8,0.1,0.4,1.0
3/1/2020,,,,,,,,,
3/2/2020,,,,,,,,,
3/3/2020,,,,,,,,,
3/4/2020,,,,,,,,,
3/5/2020,,,,,,,,,
3/6/2020,,,,,,,,,
3/7/2020,,,,,,,,,
3/8/2020,,,,,,,,,
3/9/2020,,,,,,,,,
3/10/2020,0.5,0.4,0.7,0.8,0.2,0.6,0.1,0.3,1.1
3/11/2020,0.3,0.4,0.7,0.8,0.2,1.2,0.1,0.3,1.1
3/12/2020,0.2,0.4,0.7,0.5,0.1,0.9,0.1,0.3,1.5
3/13/2020,0.3,0.4,0.7,0.8,0.1,1.0,0.1,0.2,1.0
3/14/2020,0.4,0.4,0.7,0.8,0.1,1.0,0.1,0.3,1.2
3/15/2020,,,,,,,,,
3/16/2020,0.6,0.4,0.7,2.1,0.6,0.6,0.1,0.3,1.0
3/17/2020,0.5,0.4,0.7,1.1,0.3,1.1,0.1,0.3,0.9
3/18/2020,0.7,0.5,0.6,1.2,0.3,1.0,0.1,0.2,2.8
3/19/2020,0.8,0.4,0.7,1.4,0.4,0.6,0.1,0.2,1.9
3/20/2020,0.7,0.5,0.7,1.0,0.4,0.4,0.2,0.1,0.6
3/21/2020,0.3,0.5,0.7,1.3,0.5,0.6,0.2,0.1,0.9
3/22/2020,,,,,,,,,
3/23/2020,0.3,0.4,0.8,0.9,0.2,0.5,0.2,0.1,0.8
3/24/2020,0.3,0.5,0.8,0.9,0.2,0.6,0.2,0.2,0.9
3/25/2020,0.3,0.5,0.8,1.1,0.2,0.7,0.2,0.1,1.1
3/26/2020,0.4,0.5,0.9,1.4,0.5,1.0,0.1,0.3,0.9
3/27/2020,0.5,0.5,0.7,1.3,0.3,1.0,0.1,0.1,0.9
3/28/2020,0.5,0.5,0.8,1.3,0.3,1.1,0.1,0.1,1.5
3/29/2020,,,,,,,,,
3/30/2020,0.3,0.6,0.4,1.0,0.3,1.1,0.1,0.1,0.9
3/31/2020,0.3,0.5,0.4,0.9,0.2,0.6,0.1,0.2,1.0
4/1/2020,0.4,0.5,0.4,1.4,0.3,0.7,0.1,0.2,1.1
4/2/2020,0.4,0.5,0.6,1.4,0.4,0.8,0.2,0.2,1.7
4/3/2020,0.5,0.5,0.6,1.6,0.4,0.5,0.1,0.2,1.5
4/4/2020,0.5,0.5,0.5,1.5,0.4,0.5,0.1,0.2,1.8
4/5/2020,,,,,,,,,
4/6/2020,0.40,0.50,0.60,1.80,0.50,0.80,0.00,0.20,0.90
4/7/2020,0.30,0.60,0.60,1.80,0.50,0.90,0.10,0.20,1.70
4/8/2020,0.50,0.60,0.60,1.70,0.50,0.90,0.10,0.40,1.40
4/9/2020,0.50,0.80,0.60,2.10,0.60,0.80,0.20,0.40,1.60
4/10/2020,0.30,0.80,0.60,1.90,0.60,0.40,0.20,0.30,1.80
4/11/2020,0.30,0.70,0.40,1.90,0.60,0.50,0.10,0.30,1.60
4/12/2020,,,,,,,,,
4/13/2020,0.3,0.6,0.5,2.3,0.7,0.6,0.1,0.3,1.1
4/14/2020,0.5,0.4,0.4,2.0,0.6,0.7,0.1,0.2,1.0
4/15/2020,0.4,0.3,0.4,1.9,0.5,0.7,0.1,0.2,1.6
4/16/2020,0.4,0.6,0.5,1.7,0.4,0.6,0.1,0.2,1.2
4/17/2020,0.4,0.5,0.6,1.6,0.4,0.6,0.1,0.2,1.2
4/18/2020,0.3,0.5,0.5,1.9,0.5,0.7,0.1,0.1,1.4
4/19/2020,,,,,,,,,
4/20/2020,,,,,,,,,
4/21/2020,0.2,0.4,0.4,1.7,0.4,0.5,0.0,0.2,1.0
4/22/2020,0.3,0.6,0.4,2.0,0.6,0.4,0.0,0.2,1.2
4/23/2020,0.4,0.3,0.5,1.1,0.3,0.4,0.0,0.3,1.1
4/24/2020,0.4,0.5,0.5,2.4,0.8,0.4,0.1,0.1,1.7
4/25/2020,0.2,0.6,0.5,2.2,0.7,0.4,0.1,0.2,3.6
4/26/2020,,,,,,,,,
4/27/2020,0.3,0.7,0.5,1.8,0.5,0.9,0.1,0.2,2.1
4/28/2020,0.3,0.5,0.5,1.6,0.4,0.8,0.1,0.3,2.0
4/29/2020,0.4,0.6,0.5,2.0,0.5,0.8,0.1,0.2,2.0
4/30/2020,0.3,0.6,0.6,2.0,0.6,0.5,0.1,0.2,1.7
5/1/2020,,,,,,,,,
5/2/2020,0.4,0.5,0.5,2.2,0.6,0.6,0.1,0.3,1.3
5/3/2020,,,,,,,,,
5/4/2020,0.2800,0.4280,0.5350,2.3053,0.6748,0.6444,0.0860,0.2612,2.1889
5/5/2020,0.3367,0.4732,0.4992,2.3166,0.6850,0.6889,0.1012,0.1244,1.4833
5/6/2020,0.2750,0.3925,0.3767,2.1225,0.6158,0.8167,0.0950,0.2181,1.3167
5/7/2020,0.3883,0.4160,0.4375,1.7822,0.4983,0.5111,0.0651,0.2031,1.5000
5/8/2020,0.3317,0.4780,0.5083,2.0822,0.6058,0.5167,0.1046,0.1631,1.5167
5/9/2020,,,,,,,,,
5/10/2020,,,,,,,,,
5/11/2020,0.4633,0.5152,0.5417,2.1628,0.6206,0.8000,0.0941,0.1837,1.6278
5/12/2020,0.3367,0.5357,0.4275,1.9794,0.5692,0.6667,0.0749,0.1538,1.3889
5/13/2020,0.3317,0.4942,0.3400,2.0450,0.6094,0.5833,0.0896,0.2094,1.1778
5/14/2020,0.2217,0.3038,0.3200,1.9644,0.5367,0.6056,0.0667,0.1088,0.6111
5/15/2020,0.3317,0.3317,0.2800,1.7959,0.4717,0.5556,0.0794,0.1088,1.1778
5/16/2020,0.3333,0.5318,0.3233,1.9703,0.5110,0.6500,0.0878,0.1431,1.0889
5/17/2020,,,,,,,,,
5/18/2020,0.3917,0.5935,0.3633,1.9881,0.5142,0.3722,0.0784,0.2269,1.0889
5/19/2020,0.4550,0.4520,0.4183,2.0016,0.4438,0.6722,0.0949,0.2531,1.0611
5/20/2020,0.3367,0.4300,0.4717,1.6775,0.4269,0.5500,0.0567,0.2188,1.0500
5/21/2020,0.3883,0.4960,0.3158,2.0219,0.5154,0.6000,0.0464,0.2050,0.7556
5/22/2020,0.3817,0.5028,0.2792,1.8956,0.5127,0.6056,0.0912,0.1412,1.2556
5/23/2020,0.3900,0.4998,0.3058,1.6675,0.4294,0.6500,0.1221,0.1775,1.0389
5/24/2020,,,,,,,,,
5/25/2020,0.3317,0.5512,0.2833,1.9631,0.5356,0.8833,0.0703,0.1156,0.7889
5/26/2020,0.2200,0.6320,0.2833,1.6812,0.4129,0.7667,0.1795,0.1219,1.4500
5/27/2020,0.3317,0.3750,0.2583,1.7562,0.4558,0.6278,0.1504,0.1431,1.3167
5/28/2020,0.4500,0.5242,0.3367,1.2250,0.3169,0.7389,0.1699,0.0894,1.0000
5/29/2020,0.3350,0.4975,0.2983,1.7188,0.4681,1.0500,0.0760,0.1512,1.2389
5/30/2020,0.2783,0.5103,0.3600,1.5966,0.3727,0.7111,0.0760,0.1581,0.3333
5/31/2020,,,,,,,,,
6/1/2020,0.2767,0.4715,0.2833,1.4931,0.3890,0.6611,0.0954,0.2469,1.1889
6/2/2020,0.3900,0.5030,0.2808,1.5816,0.3812,0.7333,0.0880,0.2531,1.6556
6/3/2020,0.3950,0.4890,0.3125,1.5419,0.3925,0.8722,0.0791,0.3188,1.7278
6/4/2020,0.4000,0.5538,0.3667,0.8044,0.1708,0.7167,0.0952,0.2375,0.9278
6/5/2020,0.7550,0.6877,0.4342,1.0212,0.2046,0.5611,0.1165,0.2475,1.2278
6/6/2020,0.4667,0.5995,0.4992,1.1225,0.1658,0.6611,0.1198,0.2850,1.3833
6/7/2020,,,,,,,,,
6/8/2020,,,,,,,,,
6/9/2020,0.6433,0.2802,0.5092,0.6044,0.0998,0.6333,0.0690,0.1450,1.7889
6/10/2020,0.8083,0.4128,0.5508,0.4975,0.0988,0.6389,0.0624,0.2650,1.4667
6/11/2020,0.8217,0.3625,0.5858,0.6062,0.0925,0.8056,0.0974,0.2300,1.6444
6/12/2020,0.4750,0.5422,0.6233,0.9178,0.1463,0.6833,0.1010,0.1812,1.1611
6/13/2020,0.4133,0.4645,0.7108,0.7669,0.1085,0.8500,0.0696,0.2825,1.3500
6/14/2020,,,,,,,,,
6/15/2020,0.3483,0.3453,0.4925,0.8434,0.1202,1.0278,0.0961,0.1638,1.0389
6/16/2020,0.4600,0.5035,0.6000,0.5134,0.1971,1.0778,0.1641,0.1369,2.2500
6/17/2020,0.5767,0.4825,0.5517,0.8003,0.1135,0.7944,0.1035,0.2256,2.5000
6/18/2020,0.2883,0.4222,0.4883,0.5294,0.1527,0.4889,0.0452,0.1694,1.1667
6/19/2020,0.5183,0.3820,0.6292,0.8603,0.2781,0.5833,0.0305,0.1419,1.0778
6/20/2020,0.6350,0.4340,0.5683,0.8553,0.2160,0.4167,0.0625,0.2275,1.4222
6/21/2020,,,,,,,,,
6/22/2020,0.3467,0.2785,0.5775,0.6716,0.1765,0.6000,0.0686,0.1994,1.1778
6/23/2020,0.3467,0.3040,0.5383,0.7519,0.1538,0.8444,0.0835,0.1625,1.3778
6/24/2020,0.8000,0.2365,0.6150,0.9784,0.3735,0.7500,0.0802,0.2319,1.1611
6/25/2020,0.4000,0.4702,0.5833,1.2809,0.4748,0.5278,0.0878,0.2806,2.0944
6/26/2020,0.4017,0.4520,0.6233,1.0425,0.3425,0.5722,0.0855,0.2744,1.1222
6/27/2020,0.5150,0.5062,0.6608,0.8634,0.2565,0.8222,0.0660,0.2481,1.7722
6/28/2020,,,,,,,,,
6/29/2020,,,,,,,,,
6/30/2020,0.5217,0.5602,0.6800,0.6519,0.4954,0.9722,0.0508,0.2275,2.1167
7/1/2020,0.5200,0.4152,0.5667,1.2434,0.5348,0.4611,0.2876,0.2781,0.7389
7/2/2020,0.7000,0.5592,0.6133,1.1431,0.6619,0.4389,0.2949,0.1288,1.1444
7/3/2020,0.6967,0.5420,0.6333,1.2078,0.6342,0.4778,0.2040,0.2356,0.8389
7/4/2020,0.7483,0.5405,0.6067,1.0450,0.6835,0.2889,0.1614,0.1281,0.8278
7/5/2020,,,,,,,,,
7/6/2020,0.5133,0.5252,0.5758,1.0197,0.4227,0.3444,0.1449,0.1006,0.7944
7/7/2020,0.3417,0.4092,0.4942,1.0303,0.4421,0.4056,0.2724,0.1250,0.6333
7/8/2020,0.6283,0.5168,0.5375,0.9634,0.5898,0.4778,0.1815,0.1600,0.5778
7/9/2020,0.6217,0.4298,0.5158,0.8125,0.4675,0.4278,0.1632,0.1400,1.0167
7/10/2020,0.5767,0.4923,0.5500,0.8622,0.5950,0.3889,0.1809,0.1425,0.5444
7/11/2020,1.1050,0.5160,0.6117,0.9222,0.6394,0.6500,0.2319,0.2219,0.4944
7/12/2020,,,,,,,,,
7/13/2020,0.5633,0.4400,0.5367,1.4031,0.6904,0.6944,0.1784,0.1394,0.8667
7/14/2020,0.5683,0.3975,0.5225,1.3756,0.5696,0.4333,0.2338,0.1750,0.5889
7/15/2020,0.9150,0.3705,0.5542,1.5997,0.7433,1.4778,0.2308,0.2169,0.9944
7/16/2020,0.7450,0.4450,0.5283,1.3578,0.6650,0.7389,0.1340,0.2825,3.4944
7/17/2020,1.2150,0.4030,0.5917,1.4931,0.6650,1.0444,0.2251,0.1831,0.8944
7/18/2020,0.7483,0.2690,0.5858,1.2763,0.5673,1.0000,0.2111,0.1475,0.9000
7/19/2020,,,,,,,,,
7/20/2020,,,,,,,,,
7/21/2020,,,,,,,,,
7/22/2020,,,,,,,,,
7/23/2020,,,,,,,,,
7/24/2020,,,,,,,,,
7/25/2020,,,,,,,,,
7/26/2020,,,,,,,,,
7/27/2020,,,,,,,,,
7/28/2020,,,,,,,,,
7/29/2020,,,,,,,,,
7/30/2020,,,,,,,,,
7/31/2020,,,,,,,,,
8/1/2020,0.8,0.4,0.5,0.7,0.4,1.0,0.2,0.3,0.7
8/2/2020,,,,,,,,,
8/3/2020,0.9283,0.5405,0.5033,1.1216,0.6881,1.0333,0.2976,0.2831,1.6889
8/4/2020,0.8183,0.5625,0.3925,1.1141,0.3233,1.1278,0.2448,0.3219,1.2000
8/5/2020,0.7567,0.5767,0.4075,1.0734,0.3323,1.0056,0.2864,0.3262,1.4944
8/6/2020,0.7583,0.3195,0.4317,1.4116,0.4960,1.2944,0.2668,0.3844,1.2889
8/7/2020,0.8700,0.3902,0.5508,1.3212,0.6902,0.6333,0.0804,0.2550,1.6944
8/8/2020,0.6400,0.5090,0.4892,1.3038,0.4388,0.8500,0.0674,0.1706,1.4944
8/9/2020,,,,,,,,,
8/10/2020,0.9233,0.5685,0.4558,1.6659,0.6046,1.6833,0.1921,0.4162,1.4889
8/11/2020,0.9250,0.2135,0.4883,0.8784,0.5271,1.3833,0.1541,0.3375,1.6389
8/12/2020,1.0317,0.4805,0.4883,0.8884,0.3737,1.1389,0.1060,0.2581,1.1778
8/13/2020,0.9783,0.6850,0.3725,0.6381,0.3162,1.2000,0.1781,0.1112,1.5333
8/14/2020,1.0900,0.5635,0.4258,1.4556,0.7190,0.8000,0.1062,0.4956,1.2333
8/15/2020,1.0950,0.4802,0.5200,1.2681,0.6142,0.5611,0.1016,0.6025,1.6778
8/16/2020,,,,,,,,,
8/17/2020,,,,,,,,,
8/18/2020,,,,,,,,,
8/19/2020,,,,,,,,,
8/20/2020,,,,,,,,,
8/21/2020,,,,,,,,,
8/22/2020,,,,,,,,,
8/23/2020,,,,,,,,,
8/24/2020,,,,,,,,,
8/25/2020,,,,,,,,,
8/26/2020,,,,,,,,,
8/27/2020,,,,,,,,,
8/28/2020,,,,,,,,,
8/29/2020,,,,,,,,,
8/30/2020,,,,,,,,,
8/31/2020,,,,,,,,,
9/1/2020,,,,,,,,,
9/2/2020,,,,,,,,,
9/3/2020,,,,,,,,,
9/4/2020,,,,,,,,,
9/5/2020,,,,,,,,,
9/6/2020,,,,,,,,,
9/7/2020,0.5817,0.6290,0.5300,0.9462,0.6781,0.7611,0.1421,0.2556,1.5111
9/8/2020,0.8350,0.4210,0.5283,0.9591,0.9902,0.8667,0.1677,0.3450,1.6167
9/9/2020,0.7333,0.1927,0.4917,1.1100,0.7413,0.6167,0.1281,0.3494,1.8778
9/10/2020,0.6250,0.5320,0.5100,0.7928,0.6433,0.5222,0.1417,0.3181,1.9000
9/11/2020,0.5083,0.3645,0.4758,1.2619,0.7381,0.6611,0.1400,0.3206,1.3944
9/12/2020,0.6767,0.5160,0.4742,1.3278,0.7883,0.8556,0.1042,0.2619,1.3000
9/13/2020,,,,,,,,,
9/14/2020,0.6783,0.5027,0.5308,1.2684,0.7367,0.9222,0.0991,0.3012,1.5833
9/15/2020,0.7283,0.2858,0.6792,0.9344,0.6000,0.8389,0.0627,0.2525,2.0722
9/16/2020,0.8517,0.5000,0.5858,1.6856,0.6715,0.7333,0.1778,0.3500,1.1667
9/17/2020,0.8483,0.5400,0.4500,1.0241,0.8492,0.5000,0.0706,0.5306,1.0111
9/18/2020,0.7767,0.3995,0.4400,1.2319,0.7181,0.4778,0.1481,0.2569,0.6722
9/19/2020,0.8300,0.2982,0.4275,1.1284,0.5931,0.4333,0.3140,0.2537,0.6111
9/20/2020,,,,,,,,,
9/21/2020,,,,,,,,,
9/22/2020,,,,,,,,,
9/23/2020,,,,,,,,,
9/24/2020,,,,,,,,,
9/25/2020,,,,,,,,,
9/26/2020,,,,,,,,,
9/27/2020,,,,,,,,,
9/28/2020,0.8883,0.3012,0.4300,0.5469,0.3600,0.9278,0.2947,0.1569,0.6167
9/29/2020,0.3933,0.4300,0.3733,0.9337,0.4896,0.6611,0.2421,0.2331,1.0111
9/30/2020,0.5117,0.2602,0.4017,0.6966,0.4981,0.6944,0.3500,0.1894,0.7278
10/1/2020,0.4533,0.5238,0.4042,0.7197,0.4831,0.5889,0.0732,0.1494,1.4556
10/2/2020,0.5650,0.4367,0.4083,1.1959,0.5819,0.3611,0.1365,0.1862,0.9667
10/3/2020,0.4533,0.3740,0.4142,1.0247,0.5288,0.4667,0.1438,0.1925,0.7778
10/4/2020,,,,,,,,,
10/5/2020,0.4567,0.2910,0.4333,1.0747,0.6623,0.6722,0.2603,0.1806,0.7333
10/6/2020,0.6817,0.2823,0.4650,1.1466,0.6081,0.7889,0.2013,0.2006,0.6722
10/7/2020,0.5683,0.3970,0.5100,0.9784,0.6381,0.8944,0.1858,0.2350,0.5667
10/8/2020,0.4500,0.3075,0.5542,1.1028,0.5208,0.6667,0.2146,0.2612,0.4611
10/9/2020,0.6750,0.2902,0.5283,0.9353,0.5608,1.0944,0.2092,0.2531,0.5556
10/10/2020,0.7283,0.3035,0.4350,0.9853,0.5267,0.9333,0.1926,0.2738,0.5611
10/11/2020,,,,,,,,,
10/12/2020,0.7317,0.1925,0.5333,1.0700,0.5237,0.7333,0.1730,0.2262,0.4667
10/13/2020,0.5150,0.2870,0.4258,0.9800,0.5902,0.6889,0.1601,0.0694,1.1444
10/14/2020,,,,,,,,,
10/15/2020,0.3917,0.2975,0.4383,0.8394,0.3817,0.3778,0.2229,0.3619,0.6056
10/16/2020,0.2217,0.3370,0.4525,0.8928,0.5858,0.3778,0.1904,0.3506,0.6111
10/17/2020,0.2767,0.2952,0.4450,1.2319,0.4258,0.2833,0.1802,0.3312,0.7056
10/18/2020,,,,,,,,,
10/19/2020,0.4333,0.3015,0.4600,1.2456,0.6248,0.6778,0.2314,0.1588,0.6500
10/20/2020,0.5950,0.3113,0.5617,1.3100,0.6052,0.6667,0.2062,0.2562,1.0333
10/21/2020,0.5450,0.3702,0.4708,1.0688,0.7252,0.3500,0.2225,0.2888,0.6500
10/22/2020,0.9883,0.4015,0.8392,1.1681,0.5250,1.0167,0.2370,0.1469,0.5056
10/23/2020,0.8783,0.4295,0.7450,1.2481,0.5825,0.6278,0.2445,0.2738,0.6056
10/24/2020,1.2850,0.4402,0.5417,1.0394,0.6094,0.6944,0.2309,0.2850,0.6611
10/25/2020,,,,,,,,,
10/26/2020,,,,,,,,,
10/27/2020,,,,,,,,,
10/28/2020,,,,,,,,,
10/29/2020,,,,,,,,,
10/30/2020,,,,,,,,,
10/31/2020,,,,,,,,,
11/1/2020,,,,,,,,,
11/2/2020,,,,,,,,,
11/3/2020,,,,,,,,,
11/4/2020,,,,,,,,,
11/5/2020,,,,,,,,,
11/6/2020,,,,,,,,,
11/7/2020,,,,,,,,,
11/8/2020,,,,,,,,,
11/9/2020,,,,,,,,,
11/10/2020,,,,,,,,,
11/11/2020,,,,,,,,,
11/12/2020,,,,,,,,,
11/13/2020,,,,,,,,,
11/14/2020,,,,,,,,,
11/15/2020,,,,,,,,,
11/16/2020,,,,,,,,,
11/17/2020,,,,,,,,,
11/18/2020,,,,,,,,,
11/19/2020,,,,,,,,,
11/20/2020,,,,,,,,,
11/21/2020,,,,,,,,,
11/22/2020,,,,,,,,,
11/23/2020,,,,,,,,,
11/24/2020,,,,,,,,,
11/25/2020,,,,,,,,,
11/26/2020,,,,,,,,,
11/27/2020,,,,,,,,,
11/28/2020,,,,,,,,,
11/29/2020,,,,,,,,,
11/30/2020,,,,,,,,,
12/1/2020,,,,,,,,,
12/2/2020,,,,,,,,,
12/3/2020,,,,,,,,,
12/4/2020,,,,,,,,,
12/5/2020,,,,,,,,,
12/6/2020,,,,,,,,,
12/7/2020,,,,,,,,,
12/8/2020,,,,,,,,,
12/9/2020,,,,,,,,,
12/10/2020,,,,,,,,,
12/11/2020,,,,,,,,,
12/12/2020,,,,,,,,,
12/13/2020,,,,,,,,,
12/14/2020,,,,,,,,,
12/15/2020,,,,,,,,,
12/16/2020,,,,,,,,,
12/17/2020,,,,,,,,,
12/18/2020,,,,,,,,,
12/19/2020,,,,,,,,,
12/20/2020,,,,,,,,,
12/21/2020,,,,,,,,,
12/22/2020,,,,,,,,,
12/23/2020,,,,,,,,,
12/24/2020,,,,,,,,,
12/25/2020,,,,,,,,,
12/26/2020,,,,,,,,,
12/27/2020,,,,,,,,,
12/28/2020,,,,,,,,,
12/29/2020,,,,,,,,,
12/30/2020,,,,,,,,,
12/31/2020,,,,,,,,,
1/1/2021,,,,,,,,,
1/2/2021,,,,,,,,,
1/3/2021,,,,,,,,,
1/4/2021,,,,,,,,,
1/5/2021,,,,,,,,,
1/6/2021,,,,,,,,,
1/7/2021,,,,,,,,,
